date,PM10,PM2.5,O3,NO,NO2,NOx,SO2,CO,PRS,RH,TOUT,SR,WSR,WDR,RAINF
2019-09-27,55.125,22.916666666666668,16.0,1.1,7.2250000000000005,11.433333333333332,11.833333333333334,1.0258333333333334,709.2458333333334,66.83333333333333,27.68625,0.134625,8.083333333333334,89.29166666666667,0.0
2019-09-28,29.875,6.25,16.0,2.1,5.041666666666667,9.295833333333333,19.666666666666668,0.9991666666666666,710.1791666666667,74.16666666666667,25.28833333333333,0.19162500000000002,8.308333333333334,96.58333333333333,0.0
2019-09-29,27.0,2.0,16.0,3.5,3.295833333333333,6.8125,30.8,1.1,711.5,74.0,24.83,0.304,9.9,108.0,0.0
2019-09-30,39.291666666666664,11.041666666666666,16.0,3.5,3.725,7.429166666666667,26.84583333333333,0.9691666666666667,711.5,66.83333333333333,24.83,0.271875,11.004166666666668,117.95833333333333,0.0
2019-10-01,29.583333333333332,14.25,19.041666666666668,3.595833333333333,3.591666666666667,7.670833333333333,20.054166666666667,0.89,711.2833333333333,71.16666666666667,26.8925,0.11325,10.279166666666667,124.875,0.007500000000000001
2019-10-02,32.583333333333336,12.166666666666666,21.333333333333332,3.9291666666666667,4.666666666666667,8.5875,20.8875,0.9308333333333333,711.6583333333333,67.41666666666667,26.641666666666666,0.16008333333333333,8.8125,113.54166666666667,0.0
2019-10-03,36.25,15.291666666666666,25.5,3.8041666666666667,4.620833333333334,8.404166666666667,18.258333333333333,0.98875,712.8958333333334,66.83333333333333,26.673333333333332,0.15483333333333335,8.825000000000001,110.29166666666667,0.0
2019-10-04,44.458333333333336,15.458333333333334,27.25,2.9875000000000003,6.2875000000000005,10.870833333333332,15.416666666666666,1.1141666666666665,714.1750000000001,62.625,26.504166666666666,0.14891666666666667,7.083333333333333,95.95833333333333,0.0
2019-10-05,51.083333333333336,21.041666666666668,44.416666666666664,4.3875,5.1000000000000005,10.875,14.0375,1.1058333333333332,713.1750000000001,58.75,27.699583333333333,0.14658333333333332,6.2,142.95833333333334,0.0
2019-10-06,44.333333333333336,15.708333333333334,42.416666666666664,3.2416666666666667,4.8625,9.141666666666667,12.858333333333334,1.0808333333333333,712.6374999999999,56.25,28.371666666666666,0.148375,5.883333333333333,155.45833333333334,0.0
2019-10-07,37.875,15.583333333333334,29.083333333333332,4.033333333333333,6.608333333333333,11.625,12.066666666666668,1.1129166666666668,714.5833333333334,56.041666666666664,27.169583333333335,0.13420833333333335,7.445833333333333,85.45833333333333,0.0
2019-10-08,52.333333333333336,17.416666666666668,37.083333333333336,5.291666666666667,6.425,12.266666666666666,13.479166666666666,1.1195833333333334,714.2208333333333,55.708333333333336,25.976249999999997,0.127875,8.0875,82.54166666666667,0.004166666666666667
2019-10-09,45.25,16.333333333333332,41.708333333333336,4.004166666666666,6.108333333333333,11.200000000000001,15.133333333333333,1.1441666666666668,710.9499999999999,63.0,26.84375,0.14691666666666667,7.05,100.625,0.0
2019-10-10,62.5,20.75,44.25,3.8208333333333333,7.116666666666667,13.054166666666667,13.987499999999999,1.1841666666666668,709.3416666666667,64.41666666666667,27.464583333333334,0.14508333333333334,6.675,88.16666666666667,0.0
2019-10-11,125.95833333333333,19.5,15.375,5.25,6.295833333333333,13.200000000000001,13.458333333333334,1.1720833333333334,713.0458333333332,68.45833333333333,21.654583333333335,0.10512500000000001,12.254166666666668,55.791666666666664,0.0
2019-10-12,47.291666666666664,15.458333333333334,29.583333333333332,0.6541666666666667,7.0625,11.383333333333333,11.033333333333333,0.93375,717.3833333333333,56.083333333333336,15.896666666666667,0.10325000000000001,8.266666666666667,102.29166666666667,0.0
2019-10-13,44.583333333333336,19.708333333333332,41.875,2.5749999999999997,7.55,12.137500000000001,14.058333333333332,0.9700000000000001,713.3375,52.333333333333336,21.850416666666664,0.15479166666666666,5.3374999999999995,146.375,0.0
2019-10-14,50.291666666666664,18.208333333333332,42.208333333333336,2.9875000000000003,8.120833333333334,15.291666666666666,11.270833333333334,1.1341666666666665,712.5333333333333,59.916666666666664,25.60875,0.140125,5.445833333333333,109.54166666666667,0.0
2019-10-15,64.29166666666667,23.208333333333332,42.0,3.7624999999999997,8.379166666666666,13.620833333333332,11.004166666666668,1.1395833333333334,710.9916666666667,63.416666666666664,27.352083333333336,0.14491666666666667,5.9125000000000005,93.41666666666667,0.0
2019-10-16,56.625,13.958333333333334,16.333333333333332,5.170833333333333,6.883333333333333,12.025,11.125,1.0308333333333333,713.9,71.45833333333333,23.362083333333334,0.04370833333333333,9.670833333333333,107.20833333333333,0.0
2019-10-17,47.125,16.5,37.0,4.2625,6.816666666666666,13.020833333333334,10.9,0.9633333333333334,712.9625,64.58333333333333,21.9425,0.12729166666666666,6.854166666666667,135.70833333333334,0.0
2019-10-18,59.291666666666664,19.0,38.041666666666664,3.9958333333333336,7.604166666666667,13.854166666666666,13.645833333333334,1.0916666666666666,709.0875,59.625,24.307916666666667,0.148,5.733333333333333,126.83333333333333,0.0
2019-10-19,63.541666666666664,21.5,37.333333333333336,5.329166666666667,8.85,17.708333333333332,12.729166666666666,1.1691666666666667,707.6999999999999,52.375,28.054583333333337,0.149875,6.758333333333333,102.33333333333333,0.0
2019-10-20,83.20833333333333,31.5,28.541666666666668,2.8249999999999997,8.383333333333333,13.295833333333334,11.945833333333333,1.1166666666666667,708.025,71.0,26.0125,0.07729166666666666,5.433333333333334,105.625,0.0004166666666666667
2019-10-21,59.0,20.583333333333332,26.708333333333332,5.8999999999999995,8.204166666666667,15.458333333333334,11.329166666666666,1.3129166666666667,709.4791666666666,51.75,27.9225,0.14525,9.200000000000001,95.83333333333333,0.0
2019-10-22,41.083333333333336,21.291666666666668,49.5,1.6958333333333335,3.829166666666667,7.716666666666666,16.6125,0.62625,715.75,53.625,24.438333333333333,0.14616666666666667,10.025,117.08333333333333,0.0
2019-10-23,41.083333333333336,18.083333333333332,38.041666666666664,2.658333333333333,3.0083333333333333,7.033333333333332,17.679166666666667,0.5566666666666666,713.6208333333334,67.125,23.512083333333333,0.10783333333333334,9.370833333333334,123.0,0.0
2019-10-24,33.958333333333336,15.458333333333334,23.041666666666668,5.145833333333333,5.383333333333333,11.683333333333332,18.341666666666665,0.6491666666666667,710.8833333333333,70.75,24.559166666666666,0.08408333333333334,6.833333333333333,108.54166666666667,0.0
